
2025/03/28 (23:10:28) | ===> btop++ v.1.4.0
2025/03/28 (23:10:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (23:10:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (23:11:55) | ===> btop++ v.1.4.0
2025/03/28 (23:11:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (23:11:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (23:13:23) | ===> btop++ v.1.4.0
2025/03/28 (23:13:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (23:13:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (23:13:39) | ===> btop++ v.1.4.0
2025/03/28 (23:13:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (23:13:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (23:14:37) | ===> btop++ v.1.4.0
2025/03/28 (23:14:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (23:14:37) | WARNING: Intel GPU: Failed to initialize PMU
